2026-03-07 17:17:22,020 INFO    MainThread:20684 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-03-07 17:17:22,021 INFO    MainThread:20684 [wandb_setup.py:_flush():81] Configure stats pid to 20684
2026-03-07 17:17:22,021 INFO    MainThread:20684 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-07 17:17:22,021 INFO    MainThread:20684 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/guest/DA6401/da6401_assignment_1/src/wandb/run-20260307_171722-418ycucp/logs/debug.log
2026-03-07 17:17:22,021 INFO    MainThread:20684 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/guest/DA6401/da6401_assignment_1/src/wandb/run-20260307_171722-418ycucp/logs/debug-internal.log
2026-03-07 17:17:22,021 INFO    MainThread:20684 [wandb_init.py:init():844] calling init triggers
2026-03-07 17:17:22,021 INFO    MainThread:20684 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'dataset': 'mnist', 'epochs': 10, 'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'rmsprop', 'hidden_size': [128, 128, 64], 'activation': 'relu', 'loss': 'cross_entropy', 'weight_init': 'xavier', 'weight_decay': 0.0, 'wandb_project': 'da6401_mlp', 'model_save_path': 'best_model.npy', '_wandb': {}}
2026-03-07 17:17:22,021 INFO    MainThread:20684 [wandb_init.py:init():892] starting backend
2026-03-07 17:17:22,255 INFO    MainThread:20684 [wandb_init.py:init():895] sending inform_init request
2026-03-07 17:17:22,256 INFO    MainThread:20684 [wandb_init.py:init():903] backend started and connected
2026-03-07 17:17:22,265 INFO    MainThread:20684 [wandb_init.py:init():973] updated telemetry
2026-03-07 17:17:22,267 INFO    MainThread:20684 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-07 17:17:23,152 INFO    MainThread:20684 [wandb_init.py:init():1042] starting run threads in backend
2026-03-07 17:17:23,191 INFO    MainThread:20684 [wandb_run.py:_console_start():2524] atexit reg
2026-03-07 17:17:23,191 INFO    MainThread:20684 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-07 17:17:23,191 INFO    MainThread:20684 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-07 17:17:23,191 INFO    MainThread:20684 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-07 17:17:23,193 INFO    MainThread:20684 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-07 17:17:26,674 INFO    wandb-AsyncioManager-main:20684 [service_client.py:_forward_responses():134] Reached EOF.
2026-03-07 17:17:26,674 INFO    wandb-AsyncioManager-main:20684 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
